ID,S,Izero,n,M
04A3E2BD29,41.8 4.25 9.98 227.12 22.23 21.38 8.17,3.49 65.001 11.468 41.823 0.426 2.077 24.598,17.66 12.76 15.02 13.12 75.64 14.7 13.35,1.0 7.16070214716276e-17 0.310701672430372 0.477764504520857 -0.0462029185009882 -0.414873911801815 -0.0209742595193008 -1.81659694997567e-18 1.0 -1.01085016834548 2.69008070115462 0.0123610798356893 -1.38536836845807 -0.982771364611759 -2.93172565500134e-16 -4.78663227820797e-16 2.78395041450238 -14.1583366230347 -0.183728690062587 4.11307975891696 -0.034624464576736 -3.71416050021568e-17 -1.02065082968522e-16 -0.350777752227299 2.78395041450238 0.123360861846053 -0.715722592197039 0.00246268253666878 1.51472578954738e-31 2.10888664413653e-31 7.3614130360578e-16 -3.74379382774792e-15 1.18146849184803 -2.71253351043388 -6.45388383980836e-18 2.05614556190298e-32 1.00318424326679e-33 -1.38543937499679e-16 7.04592902942117e-16 -0.079040242104633 1.18146849184803 1.43131073570384e-18 0.0 0.0 0.0 0.0 0.0 0.0 1.0
04A3E2BE77,39.84 7.95 9.22 249.89 22.06 17.62 8.19,3.842 65.198 11.353 46.113 1.082 1.116 31.274,18.46 12.59 14.32 14.16 52.48 87.81 12.9,1.0 -5.46270040434718e-18 0.477527831104541 -0.75835084228344 -0.0475823534854525 -0.191919019698902 -0.017611901143389 -1.63007190822317e-16 1.0 -1.12845516496094 3.36157024505646 0.0891589254453909 -1.80066694857907 -0.99082619981406 -1.02781106718587e-16 -1.22016547735157e-16 2.62768920669564 -14.2654619342299 -0.0352744076903169 3.50909786711145 -0.012348930534434 -1.70287545562111e-16 -2.44169983168563e-16 -0.299819338483972 2.62768920669564 0.0974955994978827 -0.591472806951523 9.01297397887707e-06 -4.94928608469245e-18 -4.39992672279274e-16 -1.5264715619529e-16 2.03607640171118e-15 1.12669178122737 -2.76016952565082 3.4689344471623e-16 -5.02521991723886e-17 2.90040705997526e-16 -7.32538866411076e-17 -4.96355073187528e-16 -0.0517151527583364 1.12669178122737 -1.62474457891329e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
04A3E2DE81,43.03 19.1 10.8 238.44 32.73 26.15 8.77,17.751 213.008 13.339 44.364 4.625 1.787 62.256,17.22 12.24 12.99 13.44 35.84 15.46 12.68,1.0 -4.73852593133439e-18 0.130463867869414 1.51754526602679 -0.312300027159062 -0.176749007700467 -0.0028368518663864 -4.80277812518504e-18 1.0 -0.930532571629713 0.778238617575383 -0.0158028665977997 -0.970467635101456 -0.985224792160684 2.80807858751701e-16 5.52024222687369e-16 2.10928896902406 -9.32959603889031 0.169007824113937 1.65365197304621 -0.0206303858980031 3.88855330296021e-17 -3.58089371058162e-17 -0.25079445841696 2.10928896902406 0.0668693121622993 -0.31547772144058 0.000752952883272585 -4.13275676436226e-33 4.89648517119438e-33 5.7766355517378e-17 -2.55506367088915e-16 0.999424031930398 -1.9198935653383 -9.44932313665445e-19 5.90559506247351e-34 1.66969500867314e-33 1.286460487432e-17 -5.69014338196047e-17 0.000299827209579182 0.999424031930398 -2.83479694099662e-22 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC3799B3,48.55 19.8 10.57 239.27 26.71 19.12 7.8,11.817 247.696 11.431 41.301 4.161 0.877 52.915,18.36 11.54 12.36 12.48 27.72 22.12 12.04,1.0 5.54257985618947e-17 0.211470274946902 1.20292902054521 -0.315931637034231 0.0154213378033176 -0.00384383035257978 -4.58545413867545e-16 1.0 -1.09065587676915 2.21319829789906 0.0593206914767287 -1.73035250447764 -0.988159680759758 7.82263178264038e-16 -4.61234096872115e-16 2.37816596316554 -11.5424285022239 0.0895568033692835 2.93085137586353 -0.0157428641346646 -2.4532524608809e-16 5.56474728699085e-17 -0.283953016001966 2.37816596316554 0.0735477946759317 -0.480222493722378 0.000379697977678881 1.24764686536814e-16 1.55457136559792e-16 3.32575193361292e-16 -1.81487040302764e-15 0.977633466911956 -1.99701188286105 -1.52001052364115e-16 7.81176224278271e-17 6.70042197870682e-17 -1.44513677958067e-16 6.69151653437727e-16 0.0109494948294139 0.977633466911956 -8.8427994068255e-19 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379AC0,37.73 11.74 10.83 234.85 33.04 19.01 8.04,9.382 193.679 12.347 45.203 3.847 0.544 45.922,14.4 11.36 12.17 13.07 18.31 108.92 11.95,1.0 1.06239620819076e-16 -0.13074733650161 2.87999477971369 -0.332465810410645 -0.468838331575735 -0.00290898694835668 -2.40226839949013e-16 1.0 -1.01965580027491 1.65582848367356 0.00355708813815147 -1.43723528587109 -0.985238480345829 7.02874744747993e-17 -2.12058647627713e-17 2.37847927218344 -10.8456276332293 0.233061243613451 2.44621108152451 -0.0218634095961788 5.33794544066992e-17 4.66683885361234e-17 -0.302304715494515 2.37847927218344 0.0604624390072101 -0.450178681006624 0.000978839359674317 9.87076946149332e-17 -1.9899071049984e-16 9.22998409690513e-17 4.00269078150178e-16 0.978742994108711 -1.83250050786974 -1.39770830929063e-16 3.03476616498616e-17 3.65256230745286e-17 -7.95849672497444e-17 3.22860724039847e-16 0.011353418731661 0.978742994108711 -2.95988791556706e-19 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379B55,35.31 18.16 10.04 207.98 34.5 21.51 8.52,16.914 232.522 13.166 44.555 0.529 0.781 55.925,19.41 11.57 13.34 13.01 -70.16 29.71 13.1,1.0 -2.04247393784606e-17 -0.292679449116492 3.64551613491922 -0.302666470148675 -0.704205737809852 0.000936873813368716 9.80326704208803e-17 1.0 -1.07532144485922 2.2301972950704 -0.151716375470078 -1.27458940546772 -0.985634313864569 -2.5172540984268e-16 -2.16725478062806e-16 2.79088322271993 -14.4542632987888 0.164674955104726 3.39020921885572 -0.0208191794853555 2.09920403575387e-16 1.35340016862111e-16 -0.345790431295 2.79088322271993 0.0715275686094326 -0.550437709178639 0.000679496338235534 4.75261783422228e-33 8.11134713985337e-34 -5.45365670894653e-17 2.8245033461305e-16 0.984414997704246 -1.90061003606759 6.80159994799162e-19 7.10844263844915e-33 4.65304239749693e-33 -3.42321392155946e-17 1.77291672211486e-16 0.00807220298117481 0.984414997704246 1.32804931146326e-19 0.0 0.0 0.0 0.0 0.0 0.0 1.0
04A3E2DE53,41.91 17.26 14.59 236.93 57.74 16.44 7.48,27.507 304.004 12.091 53.408 2.744 1.614 56.936,17.73 11.26 13.01 12.15 15.88 28.05 11.51,1.0 1.06282305475204e-16 -0.226006046750623 3.55428853178494 0.178147080717154 -1.16807396296187 0.000725597160849325 -2.1353017040586e-16 1.0 -0.866543219374287 0.010535757409205 0.957099989664523 -2.09842901767481 -0.99186397591955 5.54174857632363e-18 -4.05983381431954e-16 2.05699776239783 -8.95760815591385 0.107723829092379 1.45815540462358 -0.0112739316262169 6.4383030042841e-17 3.2613261287479e-18 -0.242725735962944 2.05699776239783 0.0718167741458385 -0.186596476518784 0.000430323931893606 7.22448437562331e-18 1.92263415242552e-16 -1.35836628149665e-16 -1.13391819660588e-16 1.01727608438553 -1.10038754047983 1.60054121529834e-16 5.70406658751705e-17 -3.66720921136488e-17 9.72134710043337e-17 -1.38738204193136e-16 -0.0159712345248529 1.01727608438553 4.51261172139912e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379918,21.64 16.73 10.59 222.92 57.02 15.5 7.73,36.834 195.579 8.859 36.783 0.963 1.329 54.082,11.15 10.68 13.28 12.29 55.1 47.22 11.73,1.0 2.99626473863639e-16 -0.201415595035903 2.77605012571825 0.931517164396472 -1.92854680999593 -0.0382734790063882 -2.50837323512078e-17 1.0 -0.979475671578199 1.23140193627257 1.18193430268217 -2.24942542902715 -0.995891848056812 2.45955624509401e-16 -1.36175885200112e-16 2.39308349094979 -11.6478552754999 0.547981782168549 1.78122349017272 -0.00312574993253868 -1.35218937877645e-16 3.39200381866415e-17 -0.286212785517595 2.39308349094979 0.0473232987010098 -0.254170959334763 -0.000426160308068384 1.39363243359082e-17 1.41953385469253e-16 0.0 -4.76921713409288e-16 1.03814105313845 -0.94408547372411 -8.711538752249e-17 -7.57557739853082e-19 -8.18651990941114e-17 3.78393652936421e-17 1.0393945486958e-16 -0.0419408985467936 1.03814105313845 9.05397031957802e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379919,40.31 16.58 10.02 233.33 52.03 14.99 7.7,24.851 284.921 11.322 45.558 3.518 0.792 47.976,17.07 11.57 12.68 12.55 10.9 22.68 11.92,1.0 2.07184881026545e-16 -0.149466225459818 2.71462647474948 0.601745383866417 -1.52665575564722 0.00221264081007457 6.33022909704081e-17 1.0 -0.820410509453597 -0.366420728926721 0.782856356715009 -2.03620361640106 -0.99101051201665 -1.55785049990617e-16 -1.02407537230304e-16 1.87084176186523 -7.88092092185728 0.364691386624912 0.571807372734913 -0.0135261859382854 5.98944802829493e-17 2.10841219500177e-17 -0.206728014686108 1.87084176186523 0.0269004160863428 -0.0337461243794159 0.000694643546180505 -1.21081033473704e-16 1.89107622740159e-17 -3.88096690576402e-17 -1.61252721603561e-16 1.05135381885035 -1.16185110521152 1.13235776160679e-16 -2.2398519363478e-17 9.89144879869912e-17 -9.85043745401621e-17 -9.84197400389364e-18 -0.0464698387931854 1.05135381885035 -8.52461626290104e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379946,34.49 13.57 10.32 244.86 62.91 16.15 7.14,16.253 297.265 12.362 50.627 2.528 0.896 48.612,14.31 10.82 13.04 12.16 17.46 20.74 11.71,1.0 -7.10813279742701e-17 -0.247191631991826 3.4556781592197 -0.00671899045878912 -1.0167079540671 0.00220338087259601 2.9921424789486e-16 1.0 -1.01900485167683 1.52482169625512 0.948269971035096 -2.53280290907568 -0.988125276454831 -3.10560027081721e-16 1.7351045611875e-16 2.10065674932611 -9.74032521527531 0.286482842100051 1.2694008032083 -0.0185422450474916 1.11450144753706e-16 4.39101603055225e-17 -0.23737421267385 2.10065674932611 0.0516464452993218 -0.158134445901733 0.00119527369036652 -4.27384359503184e-17 2.8577919310047e-18 -2.40496834848066e-16 1.00728608603785e-15 1.00814391762529 -1.0054219290477 -1.23285357487345e-16 -5.2296471473988e-17 7.79486549857034e-17 -1.64392578048246e-16 3.92033314205184e-16 -0.00816596573276484 1.00814391762529 -7.51389004111039e-18 0.0 0.0 0.0 0.0 0.0 0.0 1.0
